Global_Time,Frame_ID,Total_Frame,Vehicle_ID,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,Valid,Local_X_Ego,Local_Y_Ego,Lane_Change,Cut_In
1226390222000,11238,3942,4880,1.944,32.872,4431422.124,465447.56299999997,3.909,1.136,2,4.3,-9.6,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,106.404,3.555,3,1
1226390222000,11238,3858,3860,6.034,48.67100000000001,4431449.165,465418.104,4.9,1.217,2,2.718,-27.4,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,146.189,-0.535,0,0
1226390222000,11238,12025,6934,2.2319999999999998,4.593,4431387.973,465493.895,4.408,1.5819999999999999,2,5.162000000000001,8.0,0.0,,,,10.0,1,1.0,242,4338,-0.14800000000000002,-0.028999999999999998,sunhe_t3,True,48.835,3.267,3,1
1226390222100,11251,1174,242,2.381,14.575999999999999,4431400.509,465477.32399999996,0.2,0.2,2,5.409,0.0,0.0,,,,10.0,1,2.0,4880,6934,0.537,0.099,sunhe_t3,True,67.92399999999999,3.1319999999999997,1,1
1226390222100,11251,3942,4880,1.8430000000000002,33.968,4431423.316000001,465445.82700000005,3.909,1.136,2,4.2780000000000005,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,106.814,3.67,3,1
1226390222100,11251,3858,3860,6.082000000000001,49.542,4431450.388,465416.6,4.9,1.217,2,2.488,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,146.433,-0.569,0,0
1226390222100,11251,12025,6934,2.1590000000000003,5.746,4431389.249,465492.05799999996,4.408,1.5819999999999999,2,5.21,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.222,-0.043,sunhe_t3,True,49.378,3.3539999999999996,3,1
1226390222200,11264,1174,242,2.397,15.620999999999999,4431401.848999999,465475.57700000005,0.2,0.2,2,5.261,0.0,0.0,,,,10.0,1,2.0,4880,6934,0.941,0.179,sunhe_t3,True,68.43,3.13,1,1
1226390222200,11264,3942,4880,1.456,35.297,4431424.286,465443.935,3.909,1.136,2,4.343,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,107.215,4.071000000000001,3,1
1226390222200,11264,3858,3860,6.412999999999999,50.13399999999999,4431451.833000001,465415.30299999996,4.9,1.218,2,2.188,0.0,1.0,,,,10.0,1,3.0,0,0,0.0,0.0,sunhe_t3,True,146.642,-0.8859999999999999,0,0
1226390222200,11264,12025,6934,2.133,6.853,4431390.568,465490.25299999997,4.408,1.5819999999999999,2,5.2,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.264,-0.051,sunhe_t3,True,49.919,3.3939999999999997,3,1
1226390222300,11277,1174,242,2.391,16.789,4431403.103999999,465473.73299999995,0.2,0.2,2,5.018,0.0,0.0,,,,10.0,1,2.0,4880,6934,1.123,0.22399999999999998,sunhe_t3,True,68.891,3.16,1,1
1226390222300,11277,3942,4880,1.268,36.575,4431425.382,465442.041,3.909,1.136,2,4.494,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,107.62299999999999,4.283,3,1
1226390222300,11277,3858,3860,6.62,50.946000000000005,4431453.146000001,465413.823,4.9,1.219,2,2.167,0.0,1.0,,,,10.0,1,3.0,0,0,0.0,0.0,sunhe_t3,True,146.85399999999998,-1.069,0,0
1226390222300,11277,12025,6934,2.0980000000000003,8.075,4431391.813999999,465488.354,4.408,1.5819999999999999,2,5.165,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.293,-0.057,sunhe_t3,True,50.417,3.4530000000000003,3,1
1226390222400,11289,1174,242,2.394,17.864,4431404.426,465471.961,0.2,0.2,2,5.15,0.0,0.0,,,,10.0,1,3.0,4880,6934,1.249,0.243,sunhe_t3,True,69.42399999999999,3.161,1,1
1226390222400,11289,3942,4880,1.145,37.708,4431426.528,465440.285,3.909,1.136,2,4.3069999999999995,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,108.039,4.41,3,1
1226390222400,11289,3858,3860,6.7410000000000005,51.76,4431454.347,465412.391,4.9,1.22,2,2.435,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,147.043,-1.186,0,0
1226390222400,11289,12025,6934,2.059,9.176,4431393.093,465486.573,4.408,1.5819999999999999,2,5.126,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.336,-0.065,sunhe_t3,True,50.931000000000004,3.4960000000000004,3,1
1226390222500,11302,1174,242,2.401,19.0,4431405.7530000005,465470.12,0.2,0.2,2,5.332000000000001,0.0,0.0,,,,10.0,1,3.0,4880,6934,1.329,0.249,sunhe_t3,True,69.991,3.1639999999999997,1,1
1226390222500,11302,3942,4880,1.071,38.863,4431427.691000001,465438.49700000003,3.909,1.136,2,4.217,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,108.464,4.494,3,1
1226390222500,11302,3858,3860,6.797999999999999,52.714,4431455.473999999,465410.84,4.9,1.22,2,2.654,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,147.254,-1.2329999999999999,0,0
1226390222500,11302,12025,6934,2.022,10.325,4431394.37,465484.74,4.408,1.5819999999999999,2,5.146,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.379,-0.07400000000000001,sunhe_t3,True,51.461999999999996,3.543,3,1
1226390222600,11316,1174,242,2.377,20.111,4431407.002,465468.341,0.2,0.2,2,5.051,0.0,0.0,,,,10.0,1,2.0,4880,6934,1.23,0.243,sunhe_t3,True,70.458,3.2039999999999997,1,1
1226390222600,11316,3942,4880,1.147,39.876999999999995,4431428.984,465436.805,3.909,1.136,2,4.147,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,108.88799999999999,4.434,3,1
1226390222600,11316,3858,3860,6.796,53.70399999999999,4431456.567,465409.26399999997,4.9,1.22,2,2.445,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,147.46200000000002,-1.215,0,0
1226390222600,11316,12025,6934,2.064,11.392999999999999,4431395.701,465482.971,4.408,1.5819999999999999,2,5.09,0.0,0.0,,,,10.0,1,2.0,242,4338,-0.313,-0.061,sunhe_t3,True,51.97,3.517,3,1
1226390222700,11328,1174,242,2.34,21.217,4431408.261,465466.56299999997,0.2,0.2,2,4.896,0.0,0.0,,,,10.0,1,2.0,4880,6934,1.165,0.23800000000000002,sunhe_t3,True,70.93,3.247,1,1
1226390222700,11328,3942,4880,1.175,40.893,4431430.248,465435.12299999996,3.909,1.136,2,4.072,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,109.286,4.412,3,1
1226390222700,11328,3858,3860,6.97,54.508,4431457.838,465407.81200000003,4.9,1.2209999999999999,2,2.456,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,147.679,-1.383,0,0
1226390222700,11328,12025,6934,2.0780000000000003,12.477,4431397.032,465481.186,4.408,1.5819999999999999,2,5.078,0.0,0.0,,,,10.0,1,2.0,242,4338,-0.262,-0.052000000000000005,sunhe_t3,True,52.49100000000001,3.509,3,1
1226390222810,11341,1174,242,2.314,22.375,4431409.61,465464.68799999997,0.2,0.2,2,4.879,0.0,0.0,,,,10.0,1,2.0,4880,6934,1.11,0.228,sunhe_t3,True,71.47399999999999,3.287,1,1
1226390222810,11341,3942,4880,1.204,41.934,4431431.59,465433.38,3.909,1.136,2,3.9939999999999998,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,109.72200000000001,4.397,3,1
1226390222810,11341,3858,3860,6.771,55.633,4431458.89,465406.106,4.9,1.2209999999999999,2,2.1319999999999997,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,147.917,-1.17,0,0
1226390222810,11341,12025,6934,2.03,13.657,4431398.352,465479.299,4.408,1.5819999999999999,2,5.005,0.0,0.0,,,,10.0,1,2.0,242,4338,-0.284,-0.057,sunhe_t3,True,53.026,3.571,3,1
1226390222900,11352,1174,242,2.305,23.478,4431410.8780000005,465462.91,0.2,0.2,2,4.985,0.0,0.0,,,,10.0,1,2.0,4880,6934,1.1340000000000001,0.22699999999999998,sunhe_t3,True,71.94,3.306,1,1
